file_record_id,raw_format_id,diagnostic_type,severity,field_or_section,message
,,missing_metadata_class,info,acquisition.scan_range,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,acquisition.scan_points,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,acquisition.time_preset,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,acquisition.monitor_preset,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,tas_kinematics.qh,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,ambiguous_semantic_mapping,info,tas_kinematics.Q_magnitude,"The raw label is present, but the archive and consulted official material do not uniquely establish the intended canonical meaning."
,,missing_metadata_class,info,tas_kinematics.fixed_energy_mode,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,tas_kinematics.ki,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,tas_kinematics.kf,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,ambiguous_semantic_mapping,info,tas_angles.sample_goniometer_group_unresolved,"The raw label is present, but the archive and consulted official material do not uniquely establish the intended canonical meaning."
,,missing_metadata_class,info,monochromator.reflection,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,monochromator.mosaic,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,analyser.reflection,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,analyser.mosaic,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,collimation.slits,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,collimation.apertures,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,ambiguous_semantic_mapping,info,collimation.PS_motor_group_unresolved,"The raw label is present, but the archive and consulted official material do not uniquely establish the intended canonical meaning."
,,ambiguous_semantic_mapping,info,collimation.PA_motor_group_unresolved,"The raw label is present, but the archive and consulted official material do not uniquely establish the intended canonical meaning."
,,missing_metadata_class,info,filters.filter_identity,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,filters.filter_type,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,filters.filter_state,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,filters.PG_filter_state,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,filters.sapphire_filter_state,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,filters.higher_order_suppression,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,attenuation.attenuation_state,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,attenuation.attenuator_identity,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,detector_monitor.detector_identity,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,detector_monitor.monitor_identity,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,count_control.exposure_duration,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,sample_orientation.reference_reflections,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,sample_environment.sample_environment,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,sample_environment.magnetic_field,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,chronology.date,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,ambiguous_semantic_mapping,info,operating_mode.mode,"The raw label is present, but the archive and consulted official material do not uniquely establish the intended canonical meaning."
,,missing_metadata_class,info,operating_mode.two_axis,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,operating_mode.elastic,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
,,missing_metadata_class,info,operating_mode.Be_filter,"No matching explicit key, section label, or declared column was found; physical absence is not inferred."
