file_record_id,dataset_id,source_file,source_checksum,file_size_bytes,file_extension,filesystem_mtime,filesystem_mtime_trust,raw_format_id,raw_format_fingerprint,file_role,parse_status,parse_message,duplicate_status,duplicate_group_id,raw_scan_id,file_scan_cardinality_status,quality_flag,quality_reasons
FILE-02R-18739ff9a41fff35,EXP-TAIPAN-001,TAIPAN_exp1296_scan104040.dat,bcc6ccb919b413b0ee91a28925bd42dc869c32831c7e45bf3d9a6298da861283,24160,.dat,2023-08-28T15:54:38Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,00e53630cd366c7acd8f45aed10b51dd88f27feb9111947b056840151a37b83d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104040,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-2bd766e8241454cd,EXP-TAIPAN-001,TAIPAN_exp1296_scan104041.dat,80466a3940015ef56e5269f1a0f567dfb81b613b3ae4d800a6fc705274e889fc,9581,.dat,2023-08-28T15:56:02Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a20370d76087,a20370d76087483996ad128dc77f5702769dc90871f1c50ee14cda6374893fd5,scan,parsed,complete_one_declared_numeric_block,unique_content,,104041,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping
FILE-02R-b4ceb51089e2f382,EXP-TAIPAN-001,TAIPAN_exp1296_scan104042.dat,266bd229f4ec226e09a09d37a4014c3180979818b2e478d973b81e35e1763679,31450,.dat,2023-08-28T16:01:06Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,00e53630cd366c7acd8f45aed10b51dd88f27feb9111947b056840151a37b83d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104042,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-5baa765c008151e1,EXP-TAIPAN-001,TAIPAN_exp1296_scan104043.dat,5a093ea18a954962df13fd0e0e357241b50c3f8152566c5854249403a2041a25,9581,.dat,2023-08-28T16:02:06Z,A001_snapshot_filesystem_metadata_only,FMT-02R-365d8346d6ba,365d8346d6bae3096f01aa4d5a6ed097b14e8772eb4c4c1cdcaeb2b00136bf06,scan,parsed,complete_one_declared_numeric_block,unique_content,,104043,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping
FILE-02R-fb9b9920221845cd,EXP-TAIPAN-001,TAIPAN_exp1296_scan104044.dat,88cbe409f3f920c9f17ae52b25a361dc27c0d7e099bf45ed77f065ed54dafb6e,25442,.dat,2023-08-28T16:20:16Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a96f4c9633b6,a96f4c9633b6290c758a58703e93231b1fa21dc59c67632862150f30c2cae2cc,scan,parsed,complete_one_declared_numeric_block,unique_content,,104044,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-548c132cbb5f17d6,EXP-TAIPAN-001,TAIPAN_exp1296_scan104045.dat,cdee53a95667701e48648731838d93ecf014dc1a800ac892be4153e600aedeaa,24546,.dat,2023-08-28T16:27:16Z,A001_snapshot_filesystem_metadata_only,FMT-02R-42b66acce1bb,42b66acce1bb9e9094963947aadec8ab8c696386b7568b34f522a890d0edecea,scan,parsed,complete_one_declared_numeric_block,unique_content,,104045,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-8ae16df0090d9ece,EXP-TAIPAN-001,TAIPAN_exp1296_scan104046.dat,dcef408e00fb946942e8f7d6424bf037272f3fffb0ce198ec5795a85b6ee87a6,24546,.dat,2023-08-28T16:34:30Z,A001_snapshot_filesystem_metadata_only,FMT-02R-fb75879b9023,fb75879b90237629b7ff00fab2133cdcd0e41ebce361bb62ae82503a783b8bdb,scan,parsed,complete_one_declared_numeric_block,unique_content,,104046,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-7cec5631778ed46c,EXP-TAIPAN-001,TAIPAN_exp1296_scan104047.dat,847144472ad9358dae01cb6e67f3af4c7b0c75c46c61537b69784d002fb48fa8,17752,.dat,2023-08-28T16:40:18Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a96f4c9633b6,a96f4c9633b6290c758a58703e93231b1fa21dc59c67632862150f30c2cae2cc,scan,parsed,complete_one_declared_numeric_block,unique_content,,104047,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-5c81e383ba658579,EXP-TAIPAN-001,TAIPAN_exp1296_scan104048.dat,0315f582d5aac24750d03a537445b9696186541c0bdbe9a404ed8d6b38c2755e,20059,.dat,2023-08-28T16:46:54Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a96f4c9633b6,a96f4c9633b6290c758a58703e93231b1fa21dc59c67632862150f30c2cae2cc,scan,parsed,complete_one_declared_numeric_block,unique_content,,104048,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-6189a97c1406ead2,EXP-TAIPAN-001,TAIPAN_exp1296_scan104049.dat,4b7757ec5e3d79c397d14c615a9a5d4dee9b9b32ef2a36a14cc2e4c57354d402,585492,.dat,2023-08-28T20:22:10Z,A001_snapshot_filesystem_metadata_only,FMT-02R-de66a609ccd2,de66a609ccd219332c3d8bdb4ffa72d187f63fd880e1e2c172330df2f03ec23d,scan,parsed,complete_one_declared_numeric_block,unique_content,,104049,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
