file_record_id,scan_record_id,relationship_role,mapping_status,mapping_evidence
FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-098ce8926f037697,SCAN-02R-e3abafe2717105f3,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-0b8a6d76433c9f95,SCAN-02R-22608464dd5aff80,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-0c5324e654c50b30,SCAN-02R-7a0b878c4f9bf5c8,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-0e4b375279b4dbff,SCAN-02R-7bf9711c804eecbc,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-11dfd86ada18ae28,SCAN-02R-33c7ae4485edcd17,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-11e5fd16724f5c83,SCAN-02R-c676d8c64735e535,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-155f77862ca36b4b,SCAN-02R-8dcd5041a8a4e044,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-17224ccc44605cc6,SCAN-02R-598c5cedd335b846,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-18739ff9a41fff35,SCAN-02R-022f7aa0bc71f84f,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-1ac62a8e73779958,SCAN-02R-8ca6316615b8cbae,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-1b6fdf0a79b56cdf,SCAN-02R-8345a5938afc1084,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-1cbaba74f1870c27,SCAN-02R-e56a9b34b0768e57,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-1e8ca9599fa3228e,SCAN-02R-c0c9b8b4b3c0d88f,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
