dataset_id,file_record_id,scan_record_id,raw_format_id,diagnostic_type,severity,field_or_section,source_line_number,message
EXP-TAIPAN-001,FILE-02R-038cf4e529ce94a2,SCAN-02R-26c5588a4a75efc2,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-0481b23618cb53b9,SCAN-02R-79e659b84aa4786d,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-05fe96ea32344287,SCAN-02R-ef6a11424f751d3f,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-0c5324e654c50b30,SCAN-02R-7a0b878c4f9bf5c8,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-0e4b375279b4dbff,SCAN-02R-7bf9711c804eecbc,FMT-02R-365d8346d6ba,duplicate_declared_label,info,sgu,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-11dfd86ada18ae28,SCAN-02R-33c7ae4485edcd17,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-11e5fd16724f5c83,SCAN-02R-c676d8c64735e535,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-155f77862ca36b4b,SCAN-02R-8dcd5041a8a4e044,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-17224ccc44605cc6,SCAN-02R-598c5cedd335b846,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-18739ff9a41fff35,SCAN-02R-022f7aa0bc71f84f,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
