scan_record_id,scan_record_fingerprint,scan_identity_version,dataset_id,experiment_id,raw_scan_id,scan_identity_status,primary_file_record_id,source_file,source_checksum,acquisition_start_time,acquisition_end_time,acquisition_timestamp_source,sequence_index,sequence_status,filesystem_mtime,filesystem_mtime_trust,raw_format_id,scan_variable_raw,scan_variable_canonical,scan_coordinate_type,scan_start_derived,scan_stop_derived,scan_range_status,scan_point_count,def_x_raw,def_y_raw,command_raw,builtin_command_raw,preset_channel_raw,count_control_mode,count_control_status,raw_time_field_status,raw_monitor_field_status,raw_detector_field_status,mode_raw,mode_semantics,mode_semantics_status,Ei_summary_meV,Ef_summary_meV,Ei_variation_status,Ef_variation_status,energy_transfer_field_raw,energy_transfer_convention,energy_relation_status,en_e_mapping_status,h_variation_status,k_variation_status,l_variation_status,q_semantics_status,lattice_state_id,UB_state_id,orientation_status,monochromator_material,monochromator_reflection,monochromator_reflection_status,monochromator_mosaic,monochromator_mosaic_status,analyzer_material,analyzer_reflection,analyzer_reflection_status,analyzer_mosaic,analyzer_mosaic_status,collimation,filter_state,filter_state_status,attenuation_state,attenuation_state_status,temperature_summary_K,temperature_variation_status,sensor_metadata_ref,setpoint_metadata_ref,repeat_candidate_status,repeat_metadata_signature,repeat_candidate_count,repeat_candidate_basis,quality_flag,quality_reasons,parser_schema_version,point_data_ref
SCAN-02R-022f7aa0bc71f84f,022f7aa0bc71f84f656ce38b6bed55426cc1183a814460b01a70a6973dd6cd77,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104040,verified,FILE-02R-18739ff9a41fff35,TAIPAN_exp1296_scan104040.dat,bcc6ccb919b413b0ee91a28925bd42dc869c32831c7e45bf3d9a6298da861283,2023-08-29T11:53:06,2023-08-29T11:54:37,header_start_time_end_time_timezone_unrecorded,0,verified_header_chronology,2023-08-28T15:54:38Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,s1,S1,tas_motor_angle_raw,-14.9935,-18.0023,verified_point_endpoints_not_command_range,31,s1,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,14.8696,constant,constant,e,Ei_minus_Ef,verified_global,not_applicable,variable,constant,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-022f7aa0bc71f84f,semantic_verification_report.yaml#environment/SCAN-02R-022f7aa0bc71f84f,metadata_match_only_not_validated_repeat,db4318176cdff502e7b10e6dbe07e7ae17e72b752df04630f675b05e8c3b42ae,2,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-022f7aa0bc71f84f
SCAN-02R-1dda1db143c363ba,1dda1db143c363bad5a1e6110361641a2b3687a0d4b1e4aa7461bafaccd35e80,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104041,verified,FILE-02R-2bd766e8241454cd,TAIPAN_exp1296_scan104041.dat,80466a3940015ef56e5269f1a0f567dfb81b613b3ae4d800a6fc705274e889fc,2023-08-29T11:55:27,2023-08-29T11:56:02,header_start_time_end_time_timezone_unrecorded,1,verified_header_chronology,2023-08-28T15:56:02Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a20370d76087,sgl,,unresolved,,,unresolved_mapping,11,sgl,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,14.8696,constant,constant,e,Ei_minus_Ef,verified_global,not_applicable,constant,constant,constant,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-1dda1db143c363ba,semantic_verification_report.yaml#environment/SCAN-02R-1dda1db143c363ba,no_metadata_match,2ca09351ec7d475cf603c74b9e9ce99acc4e9ff3d3ea37e51d656e3f5feca88d,1,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-1dda1db143c363ba
SCAN-02R-6d3fa023f691129f,6d3fa023f691129f855d0a88e0f6b53a6706a26e65cb21b8396a3a7943374cb5,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104042,verified,FILE-02R-b4ceb51089e2f382,TAIPAN_exp1296_scan104042.dat,266bd229f4ec226e09a09d37a4014c3180979818b2e478d973b81e35e1763679,2023-08-29T11:59:45,2023-08-29T12:01:06,header_start_time_end_time_timezone_unrecorded,2,verified_header_chronology,2023-08-28T16:01:06Z,A001_snapshot_filesystem_metadata_only,FMT-02R-00e53630cd36,s1,S1,tas_motor_angle_raw,76.9982,80.9999,verified_point_endpoints_not_command_range,41,s1,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,14.8692,constant,constant,e,Ei_minus_Ef,verified_global,not_applicable,variable,constant,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-6d3fa023f691129f,semantic_verification_report.yaml#environment/SCAN-02R-6d3fa023f691129f,metadata_match_only_not_validated_repeat,db4318176cdff502e7b10e6dbe07e7ae17e72b752df04630f675b05e8c3b42ae,2,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-6d3fa023f691129f
SCAN-02R-3d7ecf2f3c542662,3d7ecf2f3c542662ff669e46ab4b5dbdd854d2d0ba5e2534f97e2d6288d83b56,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104043,verified,FILE-02R-5baa765c008151e1,TAIPAN_exp1296_scan104043.dat,5a093ea18a954962df13fd0e0e357241b50c3f8152566c5854249403a2041a25,2023-08-29T12:01:31,2023-08-29T12:02:06,header_start_time_end_time_timezone_unrecorded,3,verified_header_chronology,2023-08-28T16:02:06Z,A001_snapshot_filesystem_metadata_only,FMT-02R-365d8346d6ba,sgu,,unresolved,,,unresolved_mapping,11,sgu,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,14.8692,constant,constant,e,Ei_minus_Ef,verified_global,not_applicable,constant,constant,constant,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-3d7ecf2f3c542662,semantic_verification_report.yaml#environment/SCAN-02R-3d7ecf2f3c542662,no_metadata_match,666fafc1d974724da6dea2394dc89f85ddd0aeb0e77dd479271bf2425538631a,1,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved;scan_range_unresolved_mapping,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-3d7ecf2f3c542662
SCAN-02R-c949f2ba4994924e,c949f2ba4994924e2c4a3cd851db0ee8efdee4d3042e01af28924721febff769,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104044,verified,FILE-02R-fb9b9920221845cd,TAIPAN_exp1296_scan104044.dat,88cbe409f3f920c9f17ae52b25a361dc27c0d7e099bf45ed77f065ed54dafb6e,2023-08-29T12:13:46,2023-08-29T12:20:16,header_start_time_end_time_timezone_unrecorded,4,verified_header_chronology,2023-08-28T16:20:16Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a96f4c9633b6,qk,k,reciprocal_lattice_coordinate,0.9201,1.0701,verified_point_endpoints_not_command_range,31,qk,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,,constant,variable,e,Ei_minus_Ef,verified_global,not_applicable,constant,variable,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-c949f2ba4994924e,semantic_verification_report.yaml#environment/SCAN-02R-c949f2ba4994924e,metadata_match_only_not_validated_repeat,a352836d8adc434f94b59531046c8cf2b6745c97b00591a85ba9f445567d31ea,5,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-c949f2ba4994924e
SCAN-02R-20b2aca534749eb8,20b2aca534749eb89d3a2c08ed30689fc23c4b6cf1f544ee8955d254a6293223,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104045,verified,FILE-02R-548c132cbb5f17d6,TAIPAN_exp1296_scan104045.dat,cdee53a95667701e48648731838d93ecf014dc1a800ac892be4153e600aedeaa,2023-08-29T12:20:43,2023-08-29T12:27:16,header_start_time_end_time_timezone_unrecorded,5,verified_header_chronology,2023-08-28T16:27:16Z,A001_snapshot_filesystem_metadata_only,FMT-02R-42b66acce1bb,ql,l,reciprocal_lattice_coordinate,1.9202,2.0801,verified_point_endpoints_not_command_range,31,ql,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,,constant,variable,e,Ei_minus_Ef,verified_global,not_applicable,constant,constant,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-20b2aca534749eb8,semantic_verification_report.yaml#environment/SCAN-02R-20b2aca534749eb8,no_metadata_match,2378ea2f121692a0b8712ff5422bc38257e782f2346923d63933a70a78dcb70b,1,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-20b2aca534749eb8
SCAN-02R-71f68f9554b93f6c,71f68f9554b93f6c1136f646aa6b2a2d10e26721941d12e91775112b959c3546,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104046,verified,FILE-02R-8ae16df0090d9ece,TAIPAN_exp1296_scan104046.dat,dcef408e00fb946942e8f7d6424bf037272f3fffb0ce198ec5795a85b6ee87a6,2023-08-29T12:27:55,2023-08-29T12:34:29,header_start_time_end_time_timezone_unrecorded,6,verified_header_chronology,2023-08-28T16:34:30Z,A001_snapshot_filesystem_metadata_only,FMT-02R-fb75879b9023,qk,k,reciprocal_lattice_coordinate,1.9201,2.0800,verified_point_endpoints_not_command_range,31,qk,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,,constant,variable,e,Ei_minus_Ef,verified_global,not_applicable,constant,variable,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-71f68f9554b93f6c,semantic_verification_report.yaml#environment/SCAN-02R-71f68f9554b93f6c,metadata_match_only_not_validated_repeat,a352836d8adc434f94b59531046c8cf2b6745c97b00591a85ba9f445567d31ea,5,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-71f68f9554b93f6c
SCAN-02R-097d0c674875ad7d,097d0c674875ad7daeeceb2fb6dc7f49ee87044a41b6c9c3b72e9718e923c534,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104047,verified,FILE-02R-7cec5631778ed46c,TAIPAN_exp1296_scan104047.dat,847144472ad9358dae01cb6e67f3af4c7b0c75c46c61537b69784d002fb48fa8,2023-08-29T12:35:31,2023-08-29T12:40:06,header_start_time_end_time_timezone_unrecorded,7,verified_header_chronology,2023-08-28T16:40:18Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a96f4c9633b6,qk,k,reciprocal_lattice_coordinate,2.7601,3.0601,verified_point_endpoints_not_command_range,21,qk,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,,constant,variable,e,Ei_minus_Ef,verified_global,not_applicable,constant,variable,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-097d0c674875ad7d,semantic_verification_report.yaml#environment/SCAN-02R-097d0c674875ad7d,metadata_match_only_not_validated_repeat,a352836d8adc434f94b59531046c8cf2b6745c97b00591a85ba9f445567d31ea,5,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-097d0c674875ad7d
SCAN-02R-f4c54e6724ab8666,f4c54e6724ab86663d2935e8d755cfd15ac9584b2b2acd1a9be98fbbcde21722,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104048,verified,FILE-02R-5c81e383ba658579,TAIPAN_exp1296_scan104048.dat,0315f582d5aac24750d03a537445b9696186541c0bdbe9a404ed8d6b38c2755e,2023-08-29T12:41:37,2023-08-29T12:46:42,header_start_time_end_time_timezone_unrecorded,8,verified_header_chronology,2023-08-28T16:46:54Z,A001_snapshot_filesystem_metadata_only,FMT-02R-a96f4c9633b6,qk,k,reciprocal_lattice_coordinate,0.9200,1.0350,verified_point_endpoints_not_command_range,24,qk,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,,constant,variable,e,Ei_minus_Ef,verified_global,not_applicable,constant,variable,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-f4c54e6724ab8666,semantic_verification_report.yaml#environment/SCAN-02R-f4c54e6724ab8666,metadata_match_only_not_validated_repeat,a352836d8adc434f94b59531046c8cf2b6745c97b00591a85ba9f445567d31ea,5,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-f4c54e6724ab8666
SCAN-02R-2c07251df8824bce,2c07251df8824bce1ede9a20729bd3d573481587d5ecef75ef426e05111e6b52,stage02r_scan_record_v1,EXP-TAIPAN-001,1296,104049,verified,FILE-02R-6189a97c1406ead2,TAIPAN_exp1296_scan104049.dat,4b7757ec5e3d79c397d14c615a9a5d4dee9b9b32ef2a36a14cc2e4c57354d402,2023-08-29T13:31:16,2023-08-29T16:22:07,header_start_time_end_time_timezone_unrecorded,9,verified_header_chronology,2023-08-28T20:22:10Z,A001_snapshot_filesystem_metadata_only,FMT-02R-de66a609ccd2,s2,S2,tas_motor_angle_raw,-30.0022,-110.0015,verified_point_endpoints_not_command_range,801,s2,detector,,,time,time_controlled,verified,preserved_no_universal_exposure_assumption,verified_count_field_hardware_not_recorded,verified_count_field_hardware_not_recorded,0,,unresolved,14.8696,,constant,variable,e,Ei_minus_Ef,verified_global,not_applicable,constant,variable,variable,unresolved,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,recorded_UB_auxiliary_orientation_unresolved,PG,,unverified,,unverified,PG,,unverified,,unverified,o-40-40-o,,not_recorded,,not_recorded,,per_channel_in_semantic_report_no_unique_temperature,semantic_verification_report.yaml#environment/SCAN-02R-2c07251df8824bce,semantic_verification_report.yaml#environment/SCAN-02R-2c07251df8824bce,metadata_match_only_not_validated_repeat,84a53cf92e6ed1ccf80d143e156c5cf50a29630d5598b4906bf81c3da30c5d40,9,recorded_header_whitelist_only_no_intensity_or_group_assignment,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved,stage02r_a002_parser_v1,scan_points.csv#SCAN-02R-2c07251df8824bce
