boundary_index,previous_scan_record_id,next_scan_record_id,boundary_type,changed_fields,normalization_relevant,supporting_evidence,confidence
1,SCAN-02R-022f7aa0bc71f84f,SCAN-02R-1dda1db143c363ba,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgl"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-29T11:55:27"",""previous_acquisition_start_time"":""2023-08-29T11:53:06"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
2,SCAN-02R-1dda1db143c363ba,SCAN-02R-6d3fa023f691129f,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s1"",""previous"":""sgl""}},""next_acquisition_start_time"":""2023-08-29T11:59:45"",""previous_acquisition_start_time"":""2023-08-29T11:55:27"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
3,SCAN-02R-6d3fa023f691129f,SCAN-02R-3d7ecf2f3c542662,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""sgu"",""previous"":""s1""}},""next_acquisition_start_time"":""2023-08-29T12:01:31"",""previous_acquisition_start_time"":""2023-08-29T11:59:45"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
4,SCAN-02R-3d7ecf2f3c542662,SCAN-02R-c949f2ba4994924e,acquisition_state_change,scan_variable_raw;UB_state_id,false,"{""changes"":{""UB_state_id"":{""next"":""UB-02R-397acad65dd9e384"",""previous"":""UB-02R-55ac4333b2057246""},""scan_variable_raw"":{""next"":""qk"",""previous"":""sgu""}},""next_acquisition_start_time"":""2023-08-29T12:13:46"",""previous_acquisition_start_time"":""2023-08-29T12:01:31"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
5,SCAN-02R-c949f2ba4994924e,SCAN-02R-20b2aca534749eb8,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""ql"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-29T12:20:43"",""previous_acquisition_start_time"":""2023-08-29T12:13:46"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
6,SCAN-02R-20b2aca534749eb8,SCAN-02R-71f68f9554b93f6c,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""qk"",""previous"":""ql""}},""next_acquisition_start_time"":""2023-08-29T12:27:55"",""previous_acquisition_start_time"":""2023-08-29T12:20:43"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
7,SCAN-02R-f4c54e6724ab8666,SCAN-02R-2c07251df8824bce,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s2"",""previous"":""qk""}},""next_acquisition_start_time"":""2023-08-29T13:31:16"",""previous_acquisition_start_time"":""2023-08-29T12:41:37"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
8,SCAN-02R-2c07251df8824bce,SCAN-02R-cb3c11e0b8e28580,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""m1"",""previous"":""s2""}},""next_acquisition_start_time"":""2023-08-29T17:00:48"",""previous_acquisition_start_time"":""2023-08-29T13:31:16"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
9,SCAN-02R-cb3c11e0b8e28580,SCAN-02R-95f55247c2e05782,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""s2"",""previous"":""m1""}},""next_acquisition_start_time"":""2023-08-29T17:04:10"",""previous_acquisition_start_time"":""2023-08-29T17:00:48"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
10,SCAN-02R-95f55247c2e05782,SCAN-02R-59701ee4cf5ede45,acquisition_state_change,scan_variable_raw,false,"{""changes"":{""scan_variable_raw"":{""next"":""a2"",""previous"":""s2""}},""next_acquisition_start_time"":""2023-08-29T17:09:28"",""previous_acquisition_start_time"":""2023-08-29T17:04:10"",""source"":""04_Results/Stage02R/W02-02R-A-002/scan_inventory.csv""}",verified_recorded_acquisition_change
