scan_record_id,raw_scan_id,sequence_index,acquisition_state_id,acquisition_state_status,instrument_config_id,instrument_config_status,count_control_mode,lattice_state_id,UB_state_id,normalization_epoch_id,critical_unknown_fields,relevant_unknown_fields,normalization_compatibility_status,normalization_compatibility_group_id,classification_notes
SCAN-02R-022f7aa0bc71f84f,104040,0,ACQSTATE-02R-e4276bdea8e15cd5,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-03ed38ed92271694,104087,47,ACQSTATE-02R-be6ac2534d3a03ee,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-059bd02c78268a2b,104236,196,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-05cdcdc49c83bec6,104133,93,ACQSTATE-02R-9ab3f10f56634512,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-072b13029deb0fba,104108,68,ACQSTATE-02R-d8bd77a44fe00800,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-074afad5a6b92ea4,104163,123,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-076c78acdde2d2d0,104113,73,ACQSTATE-02R-76dbf689e6cbf1b2,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-097d0c674875ad7d,104047,7,ACQSTATE-02R-03c418e03bbff8ef,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-0e6d00a831c04e8d,104227,187,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-0f8fb12fa9acc5a9,104128,88,ACQSTATE-02R-6c0bdd080b2c5a8d,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
