scan_record_id,count_control_mode,acquisition_state_id,pre_detector_status,split_role,assignment_sha256,stratum_size,stratum_holdout_count,holdout_status,holdout_backfill
SCAN-02R-022f7aa0bc71f84f,time_controlled,ACQSTATE-02R-e4276bdea8e15cd5,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-03ed38ed92271694,time_controlled,ACQSTATE-02R-be6ac2534d3a03ee,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-059bd02c78268a2b,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,c79367be8f4304142585d58150506cba37aa035034cd9fa5efa78ba1d0a998c3,65,16,available,false
SCAN-02R-05cdcdc49c83bec6,time_controlled,ACQSTATE-02R-9ab3f10f56634512,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-072b13029deb0fba,time_controlled,ACQSTATE-02R-d8bd77a44fe00800,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-074afad5a6b92ea4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,47ed1c2b94135e8d4952046dffaef9fd8c9c6a5127b23a9b83c0cc795dd33f97,65,16,available,false
SCAN-02R-076c78acdde2d2d0,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-097d0c674875ad7d,time_controlled,ACQSTATE-02R-03c418e03bbff8ef,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-0e6d00a831c04e8d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,6a9a81a01cbfd5417d6b6fe85b4c9a06df787da5a3b9e978398f969110b35fa2,65,16,available,false
SCAN-02R-0f8fb12fa9acc5a9,time_controlled,ACQSTATE-02R-6c0bdd080b2c5a8d,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-113d971bbff5b0fe,time_controlled,ACQSTATE-02R-6adc9825d6f4cc64,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-118b7f0b82f35923,time_controlled,ACQSTATE-02R-6c0bdd080b2c5a8d,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-11f9a7978abc2be1,monitor_controlled,ACQSTATE-02R-2db5d7be3b4beb37,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-183e2f7a146cbdf6,monitor_controlled,ACQSTATE-02R-0393fd8a12137f3f,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-1c3a8acc71d9e5bd,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-1d86949e1fdc12c8,time_controlled,ACQSTATE-02R-6c0bdd080b2c5a8d,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-1dda1db143c363ba,time_controlled,ACQSTATE-02R-e0b6de9c98c0c6b7,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-1e5b02c69224108d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,4e382b90cd8d0e6b7f8918f4908395cc1bf0ab3bdc39a8abe00105548907e25f,65,16,available,false
SCAN-02R-20b2aca534749eb8,time_controlled,ACQSTATE-02R-b75f4d6045c9a350,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-211255ce1a05d229,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-2161de9a5edbe1bf,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-22608464dd5aff80,time_controlled,ACQSTATE-02R-361a3ee8046c2cc4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-251028aabdf3c3e7,time_controlled,ACQSTATE-02R-108dfc3a3c6afd9c,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-26c5588a4a75efc2,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,c00588be21946c82421549a1342ce9e5e0e133442a71441840f813de8a288842,65,16,available,false
SCAN-02R-26cdfd757f62fb5b,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,0c8761ca35f8af56163366cf5893a0c618a03f1d982830bc71fe69ab04384117,65,16,available,false
SCAN-02R-291dabeaaa79ad80,time_controlled,ACQSTATE-02R-28209d72681aed75,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-2a0e91f43e0fe127,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,c3a557bbd99a4194cb72f66b5224acf7b99f080a58fa4e7dd8dcfd01a30bfb91,65,16,available,false
SCAN-02R-2af7f44831b57311,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-2c07251df8824bce,time_controlled,ACQSTATE-02R-28209d72681aed75,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-2c38778fb264b3af,time_controlled,ACQSTATE-02R-28209d72681aed75,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-2f690557cfd20bec,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,fb54057c177d437582994df8f40249edb7019fcf9be991bc5af642a52985c3dc,65,16,available,false
SCAN-02R-306a96179bd778b6,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,5ab278f7b245a68ccf175b81010152552b001a94239fcc79b81d0f8317506271,65,16,available,false
SCAN-02R-31bc005deb88d4e2,time_controlled,ACQSTATE-02R-be28a48a7631be59,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-325ad9a57ee92673,time_controlled,ACQSTATE-02R-9ab3f10f56634512,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-32cf60066cdcd074,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-33c7ae4485edcd17,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-35c1a2ccd5e9e62e,time_controlled,ACQSTATE-02R-92658811a43cf789,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-3796d374ac11519e,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-379ac295ed92a194,time_controlled,ACQSTATE-02R-cbc3f2d268d2ba2a,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-391364dde623200d,time_controlled,ACQSTATE-02R-763c392f103059d4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-3d7ecf2f3c542662,time_controlled,ACQSTATE-02R-7948f6139a5d7c87,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-3f903a520f921d83,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,7473b69f9fcd779352c1858a2fa0d832a0bf3562b561c8bdc2018ac2fa161106,65,16,available,false
SCAN-02R-403532c05321d7d2,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,diagnostic_only_insufficient_geometry,not_applicable,,0,0,not_applicable,false
SCAN-02R-41d12941c2dac178,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,2baf3a05c2b2ee4239a49005eace13a887d5e5e599a4b32192e1964c42630291,65,16,available,false
SCAN-02R-42c582e4eb747d10,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
