scan_record_id,point_index,analysis_point_index,file_record_id,source_data_line_number,energy_transfer_meV,detector_counts,monitor_counts,time_exposure,exposure_value,exposure_type,count_control_mode,acquisition_state_id,lattice_state_id,UB_state_id,display_rate,display_sigma_rate,likelihood_model,likelihood_detector_counts,likelihood_exposure,QC_flags,split_role
SCAN-02R-059bd02c78268a2b,25,0,FILE-02R-5220bed93a198b55,57,-0.0011,3070.0,950005.0,249.911,950005.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,0.003231561939147689,5.83234622015466e-05,Poisson_E_times_lambda,3070.0,950005.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,24,1,FILE-02R-5220bed93a198b55,56,0.9989,65.0,950002.0,257.491,950002.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,6.842090858756087e-05,8.486569237010606e-06,Poisson_E_times_lambda,65.0,950002.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,23,2,FILE-02R-5220bed93a198b55,55,1.9991,48.0,950003.0,224.266,950003.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,5.0526156233190844e-05,7.292822475587455e-06,Poisson_E_times_lambda,48.0,950003.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,22,3,FILE-02R-5220bed93a198b55,54,2.9987,46.0,950002.0,215.701,950002.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,4.8420950692735385e-05,7.139279689016726e-06,Poisson_E_times_lambda,46.0,950002.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,21,4,FILE-02R-5220bed93a198b55,53,3.9989,62.0,950000.0,208.226,950000.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,6.526315789473684e-05,8.288429341065065e-06,Poisson_E_times_lambda,62.0,950000.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,20,5,FILE-02R-5220bed93a198b55,52,4.9987,42.0,950000.0,211.518,950000.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,4.421052631578947e-05,6.821832314113537e-06,Poisson_E_times_lambda,42.0,950000.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,19,6,FILE-02R-5220bed93a198b55,51,5.9989,43.0,950000.0,194.17,950000.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,4.526315789473684e-05,6.902566867686316e-06,Poisson_E_times_lambda,43.0,950000.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,18,7,FILE-02R-5220bed93a198b55,50,6.9989,49.0,950004.0,180.434,950004.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,5.157873019482023e-05,7.368390027831462e-06,Poisson_E_times_lambda,49.0,950004.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,17,8,FILE-02R-5220bed93a198b55,49,7.9984,51.0,950000.0,186.009,950000.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,5.368421052631579e-05,7.5172930826766846e-06,Poisson_E_times_lambda,51.0,950000.0,normal_rate_diagnostic,discovery
SCAN-02R-059bd02c78268a2b,16,9,FILE-02R-5220bed93a198b55,48,8.9985,42.0,950006.0,197.773,950006.0,monitor_raw,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,4.4210247093176254e-05,6.821789229128932e-06,Poisson_E_times_lambda,42.0,950006.0,normal_rate_diagnostic,discovery
