cluster_id,count_control_mode,L,U,representative_energy,reproducibility_tier,supporting_scan_record_ids,supporting_acquisition_state_ids,catalogue_eligible
CL-001,time_controlled,-1.1291,0.6208,-0.25415,tier_0,SCAN-02R-4fb9fc6716a3e65a,ACQSTATE-02R-4c4e33f0acec143e,false
CL-002,time_controlled,-0.6291,1.1207500000000001,0.24582500000000007,tier_0,SCAN-02R-4fb9fc6716a3e65a,ACQSTATE-02R-4c4e33f0acec143e,false
CL-003,monitor_controlled,2.4987,3.49865,2.998675,tier_1,SCAN-02R-75faa4a614a8f130;SCAN-02R-91f840c137c7a43c;SCAN-02R-957a8834d758202b;SCAN-02R-eea1fadd4abbd144;SCAN-02R-f36bb8e354cf21b7,ACQSTATE-02R-896f06c2a7c231ec,true
CL-004,monitor_controlled,2.499,5.4985,3.9987500000000002,tier_1,SCAN-02R-4ad1398a663b7933;SCAN-02R-4d54ea7698000638;SCAN-02R-4f5e09d1864ac832;SCAN-02R-91f840c137c7a43c;SCAN-02R-957a8834d758202b;SCAN-02R-fb62d31e5c3c1dbf,ACQSTATE-02R-896f06c2a7c231ec,true
CL-005,monitor_controlled,4.9986,6.99865,5.998625,tier_1,SCAN-02R-4ad1398a663b7933;SCAN-02R-4d54ea7698000638;SCAN-02R-4f5e09d1864ac832;SCAN-02R-c3dcce6e5bc72678,ACQSTATE-02R-896f06c2a7c231ec,true
CL-006,monitor_controlled,4.9986,14.9983,9.99845,tier_0,SCAN-02R-c3dcce6e5bc72678,ACQSTATE-02R-896f06c2a7c231ec,false
CL-007,monitor_controlled,17.498,18.498150000000003,17.998075,tier_1,SCAN-02R-731f452fb62a55bd;SCAN-02R-8641a638f4880175;SCAN-02R-8dcd5041a8a4e044,ACQSTATE-02R-76ff5c324efb0d8a,true
CL-008,monitor_controlled,17.4983,20.498350000000002,18.998325,tier_1,SCAN-02R-75faa4a614a8f130;SCAN-02R-f56f915bc229d6aa,ACQSTATE-02R-896f06c2a7c231ec,true
CL-009,monitor_controlled,40.49835,44.4983,42.498325,tier_1,SCAN-02R-074afad5a6b92ea4;SCAN-02R-1e5b02c69224108d;SCAN-02R-2a0e91f43e0fe127;SCAN-02R-306a96179bd778b6;SCAN-02R-432159a75d80f2b3;SCAN-02R-7118d0dce593edea;SCAN-02R-762111064d108c6d;SCAN-02R-77b71bd09c7eb4b4;SCAN-02R-79e659b84aa4786d;SCAN-02R-abcd8030795bc9cb;SCAN-02R-d2b7e9ee069bd20e;SCAN-02R-ebc55d8b20e3cec0;SCAN-02R-ef6a11424f751d3f;SCAN-02R-f71173d3ec0c732c,ACQSTATE-02R-896f06c2a7c231ec,true
CL-010,monitor_controlled,43.496849999999995,46.497749999999996,44.997299999999996,tier_1,SCAN-02R-074afad5a6b92ea4;SCAN-02R-1e5b02c69224108d;SCAN-02R-26c5588a4a75efc2;SCAN-02R-2a0e91f43e0fe127;SCAN-02R-306a96179bd778b6;SCAN-02R-51f6ed2eb7632349;SCAN-02R-68a1fdbd8955d9a4;SCAN-02R-77b71bd09c7eb4b4;SCAN-02R-91f840c137c7a43c;SCAN-02R-abcd8030795bc9cb;SCAN-02R-ebc55d8b20e3cec0;SCAN-02R-ef6a11424f751d3f,ACQSTATE-02R-896f06c2a7c231ec,true
CL-011,monitor_controlled,45.496449999999996,46.4971,45.996775,tier_1,SCAN-02R-77b71bd09c7eb4b4;SCAN-02R-d2b7e9ee069bd20e;SCAN-02R-f71173d3ec0c732c,ACQSTATE-02R-896f06c2a7c231ec,true
