candidate_id,scan_record_id,count_control_mode,acquisition_state_id,L,U,representative_energy,p_FWER,T,seed_center_index,seed_central_width,absorbed_window_count,persistent_scales,support_union_L,support_union_U
SCAN-02R-074afad5a6b92ea4-C001,SCAN-02R-074afad5a6b92ea4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,38.49725,45.498400000000004,41.997825000000006,0.02342606149341142,46.13140817747626,22,7,1,7,38.49725,45.498400000000004
SCAN-02R-074afad5a6b92ea4-C002,SCAN-02R-074afad5a6b92ea4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.497699999999995,47.49845,43.998075,0.0004880429477794046,100.22147785175548,24,7,5,5;7,39.4971,48.4976
SCAN-02R-1e5b02c69224108d-C001,SCAN-02R-1e5b02c69224108d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,38.49725,45.497699999999995,41.997474999999994,0.025866276232308444,44.25929741683831,22,7,1,7,38.49725,45.497699999999995
SCAN-02R-1e5b02c69224108d-C002,SCAN-02R-1e5b02c69224108d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49720000000001,47.4978,43.9975,0.0004880429477794046,89.80123259127868,24,7,5,5;7,39.497150000000005,47.4978
SCAN-02R-26c5588a4a75efc2-C001,SCAN-02R-26c5588a4a75efc2,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,41.498450000000005,48.49745,44.99795,0.0004880429477794046,119.49785288753446,45,7,3,5;7,41.498450000000005,49.4976
SCAN-02R-2a0e91f43e0fe127-C001,SCAN-02R-2a0e91f43e0fe127,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,38.49725,45.49825,41.997749999999996,0.010248901903367497,55.44934428119086,22,7,1,7,38.49725,45.49825
SCAN-02R-2a0e91f43e0fe127-C002,SCAN-02R-2a0e91f43e0fe127,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49720000000001,47.4976,43.9974,0.0004880429477794046,114.51119535504222,24,7,4,5;7,39.497150000000005,47.4976
SCAN-02R-306a96179bd778b6-C001,SCAN-02R-306a96179bd778b6,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,39.49825,44.4983,41.998275,0.04587603709126403,46.05173167506291,42,5,1,5,39.49825,44.4983
SCAN-02R-306a96179bd778b6-C002,SCAN-02R-306a96179bd778b6,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49845,47.49765,43.99805,0.0004880429477794046,103.0587376359199,44,7,5,5;7,39.49825,48.4974
SCAN-02R-432159a75d80f2b3-C001,SCAN-02R-432159a75d80f2b3,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49555,47.49835,43.99695,0.0004880429477794046,127.32088284289784,24,7,4,5;7,39.49555,47.49835
SCAN-02R-4ad1398a663b7933-C001,SCAN-02R-4ad1398a663b7933,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.499,5.49885,3.998925,0.0004880429477794046,834.244929165463,4,3,1,3,2.499,5.49885
SCAN-02R-4ad1398a663b7933-C002,SCAN-02R-4ad1398a663b7933,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.499,9.49855,5.998775,0.0004880429477794046,1418.1828216069844,6,7,2,5;7,2.499,9.49855
SCAN-02R-4d54ea7698000638-C001,SCAN-02R-4d54ea7698000638,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4986,5.4986,3.9985999999999997,0.0004880429477794046,211.1279943423142,4,3,3,1;3;5,2.4986,7.49845
SCAN-02R-4d54ea7698000638-C002,SCAN-02R-4d54ea7698000638,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4986,9.4983,5.99845,0.0004880429477794046,116.47403237529215,6,7,1,7,2.4986,9.4983
SCAN-02R-4f5e09d1864ac832-C001,SCAN-02R-4f5e09d1864ac832,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.49865,5.49865,3.9986499999999996,0.0004880429477794046,876.1540910307085,4,3,1,3,2.49865,5.49865
SCAN-02R-4f5e09d1864ac832-C002,SCAN-02R-4f5e09d1864ac832,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.49865,9.49855,5.9986,0.0004880429477794046,1346.1904081640532,6,7,2,5;7,2.49865,9.49855
SCAN-02R-4fb9fc6716a3e65a-C001,SCAN-02R-4fb9fc6716a3e65a,time_controlled,ACQSTATE-02R-4c4e33f0acec143e,-1.1291,0.6208,-0.25415,0.0004880429477794046,900.9167900898301,7,7,6,3;5;7,-1.37915,0.87085
SCAN-02R-4fb9fc6716a3e65a-C002,SCAN-02R-4fb9fc6716a3e65a,time_controlled,ACQSTATE-02R-4c4e33f0acec143e,-0.6291,1.1207500000000001,0.24582500000000007,0.0004880429477794046,829.1537284798405,9,7,3,5;7,-0.6291,1.3706
SCAN-02R-51f6ed2eb7632349-C001,SCAN-02R-51f6ed2eb7632349,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,41.49835,48.498149999999995,44.99825,0.0029282576866764276,27.39846065873644,35,7,4,5;7,40.4983,48.498149999999995
SCAN-02R-68a1fdbd8955d9a4-C001,SCAN-02R-68a1fdbd8955d9a4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,41.49835,48.498099999999994,44.998225,0.004880429477794046,36.22215720112581,40,7,5,3;5;7,40.49825,48.498099999999994
SCAN-02R-7118d0dce593edea-C001,SCAN-02R-7118d0dce593edea,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.4978,47.49835,43.998075,0.0009760858955588092,53.12282241121284,44,7,5,5;7,39.49765,48.498149999999995
SCAN-02R-731f452fb62a55bd-C001,SCAN-02R-731f452fb62a55bd,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,17.498,18.498150000000003,17.998075,0.0004880429477794046,30.654871666665713,17,1,6,1;3;5,15.49785,21.4983
SCAN-02R-75faa4a614a8f130-C001,SCAN-02R-75faa4a614a8f130,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4987,3.4987,2.9987,0.0004880429477794046,25.887732520328427,3,1,2,1;3,2.4987,5.49835
SCAN-02R-75faa4a614a8f130-C002,SCAN-02R-75faa4a614a8f130,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,15.4978,22.4981,18.99795,0.013665202537823329,15.637302910245126,19,7,2,5;7,15.4978,22.4981
SCAN-02R-762111064d108c6d-C001,SCAN-02R-762111064d108c6d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49835,47.49835,43.99835,0.0004880429477794046,79.69663570774719,24,7,4,5;7,39.49835,47.49835
SCAN-02R-77b71bd09c7eb4b4-C001,SCAN-02R-77b71bd09c7eb4b4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,38.49835,45.49835,41.99835,0.0004880429477794046,66.68821661612856,42,7,1,7,38.49835,45.49835
SCAN-02R-77b71bd09c7eb4b4-C002,SCAN-02R-77b71bd09c7eb4b4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49835,47.49835,43.99835,0.0004880429477794046,92.31504563355702,44,7,7,3;5;7,39.49825,48.4982
SCAN-02R-77b71bd09c7eb4b4-C003,SCAN-02R-77b71bd09c7eb4b4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,42.4978,49.498400000000004,45.9981,0.0004880429477794046,59.65296829081308,46,7,1,7,42.4978,49.498400000000004
SCAN-02R-79e659b84aa4786d-C001,SCAN-02R-79e659b84aa4786d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,39.496700000000004,46.49715,42.996925000000005,0.0004880429477794046,47.05691259125342,23,7,9,1;3;5;7,38.4973,47.49695
SCAN-02R-8641a638f4880175-C001,SCAN-02R-8641a638f4880175,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,16.49775,19.49825,17.997999999999998,0.021961932650073207,11.364997707187285,17,3,2,3;5,16.49775,21.4982
SCAN-02R-8dcd5041a8a4e044-C001,SCAN-02R-8dcd5041a8a4e044,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,16.497799999999998,19.4982,17.997999999999998,0.0019521717911176184,18.042845635063713,17,3,2,3;5,16.497799999999998,21.498150000000003
SCAN-02R-91f840c137c7a43c-C001,SCAN-02R-91f840c137c7a43c,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4986,3.49865,2.998625,0.0004880429477794046,124.8730515546631,3,1,1,1,2.4986,3.49865
SCAN-02R-91f840c137c7a43c-C002,SCAN-02R-91f840c137c7a43c,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4986,7.4986,4.9986,0.0004880429477794046,334.2048706882051,5,5,3,3;5;7,2.4986,9.49835
SCAN-02R-91f840c137c7a43c-C003,SCAN-02R-91f840c137c7a43c,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,41.498549999999994,48.4976,44.998075,0.0004880429477794046,80.71356971036766,45,7,6,5;7,40.49845,49.497749999999996
SCAN-02R-957a8834d758202b-C001,SCAN-02R-957a8834d758202b,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4987,3.49865,2.998675,0.0004880429477794046,140.69509909127373,3,1,1,1,2.4987,3.49865
SCAN-02R-957a8834d758202b-C002,SCAN-02R-957a8834d758202b,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4987,7.4986,4.99865,0.0004880429477794046,605.9063009376696,5,5,3,3;5;7,2.4987,9.49855
SCAN-02R-abcd8030795bc9cb-C001,SCAN-02R-abcd8030795bc9cb,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,39.49825,46.4985,42.998374999999996,0.012201073694485115,61.955580634637954,43,7,1,7,39.49825,46.4985
SCAN-02R-abcd8030795bc9cb-C002,SCAN-02R-abcd8030795bc9cb,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,41.498400000000004,48.4982,44.9983,0.0004880429477794046,113.23374505250285,45,7,6,3;5;7,40.49835,49.4983
SCAN-02R-c3dcce6e5bc72678-C001,SCAN-02R-c3dcce6e5bc72678,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,4.9986,6.99865,5.998625,0.0004880429477794046,209.87521852107602,3,1,1,1,4.9986,6.99865
SCAN-02R-c3dcce6e5bc72678-C002,SCAN-02R-c3dcce6e5bc72678,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,4.9986,14.9983,9.99845,0.0004880429477794046,607.8176714875153,5,5,2,3;5,4.9986,14.9983
SCAN-02R-d2b7e9ee069bd20e-C001,SCAN-02R-d2b7e9ee069bd20e,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.497299999999996,47.4983,43.9978,0.0004880429477794046,173.43189662337318,24,7,2,5;7,40.497299999999996,47.4983
SCAN-02R-d2b7e9ee069bd20e-C002,SCAN-02R-d2b7e9ee069bd20e,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,44.49695,47.4983,45.997625,0.0004880429477794046,110.21542104786204,26,3,2,1;3,44.49695,47.4983
SCAN-02R-ebc55d8b20e3cec0-C001,SCAN-02R-ebc55d8b20e3cec0,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49835,47.497699999999995,43.998025,0.0004880429477794046,53.88044433966388,44,7,5,5;7,39.49825,47.497699999999995
SCAN-02R-ebc55d8b20e3cec0-C002,SCAN-02R-ebc55d8b20e3cec0,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,42.498400000000004,49.4977,45.998050000000006,0.049292337725719865,31.133551424502002,46,7,1,7,42.498400000000004,49.4977
SCAN-02R-eea1fadd4abbd144-C001,SCAN-02R-eea1fadd4abbd144,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.4987,3.4987,2.9987,0.0004880429477794046,25.69324309561489,3,1,2,1;3,2.4987,5.49845
SCAN-02R-ef6a11424f751d3f-C001,SCAN-02R-ef6a11424f751d3f,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,39.4955,46.497749999999996,42.996624999999995,0.0004880429477794046,120.38763539568026,23,7,6,3;5;7,38.4962,47.4976
SCAN-02R-ef6a11424f751d3f-C002,SCAN-02R-ef6a11424f751d3f,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,43.496849999999995,46.497749999999996,44.997299999999996,0.0004880429477794046,114.24194170120063,25,3,4,1;3;5,42.495400000000004,47.4976
SCAN-02R-f36bb8e354cf21b7-C001,SCAN-02R-f36bb8e354cf21b7,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.49865,3.49865,2.99865,0.02879453391898487,13.241457861775416,3,1,2,1;3,2.49865,5.49855
SCAN-02R-f56f915bc229d6aa-C001,SCAN-02R-f56f915bc229d6aa,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,17.4983,20.498350000000002,18.998325,0.003904343582235237,16.52889631902326,19,3,2,1;3,17.4983,20.498350000000002
SCAN-02R-f71173d3ec0c732c-C001,SCAN-02R-f71173d3ec0c732c,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,40.49665,47.497550000000004,43.9971,0.0004880429477794046,452.2078758566422,24,7,5,5;7,39.49495,47.497550000000004
SCAN-02R-f71173d3ec0c732c-C002,SCAN-02R-f71173d3ec0c732c,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,45.496449999999996,46.4971,45.996775,0.0004880429477794046,170.83464736116912,26,1,2,1;3,44.495850000000004,47.497550000000004
SCAN-02R-fb62d31e5c3c1dbf-C001,SCAN-02R-fb62d31e5c3c1dbf,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,2.49865,5.4985,3.9985749999999998,0.0004880429477794046,93.91003896713664,4,3,3,1;3;5,2.49865,7.49875
