scan_record_id,raw_scan_id,count_control_mode,acquisition_state_id,lattice_state_id,UB_state_id,scan_variable_raw,pre_detector_status,split_role,discovery_runtime_status,pre_detector_reasons,source_point_count,usable_geometry_points,energy_order,admissible_windows,discovery_qc_reasons
SCAN-02R-022f7aa0bc71f84f,104040,time_controlled,ACQSTATE-02R-e4276bdea8e15cd5,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,31,0,not_evaluated,0,
SCAN-02R-03ed38ed92271694,104087,time_controlled,ACQSTATE-02R-be6ac2534d3a03ee,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,ps_bottom,not_primary_energy_discovery,not_applicable,not_evaluated,,29,0,not_evaluated,0,
SCAN-02R-059bd02c78268a2b,104236,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-05cdcdc49c83bec6,104133,time_controlled,ACQSTATE-02R-9ab3f10f56634512,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,31,0,not_evaluated,0,
SCAN-02R-072b13029deb0fba,104108,time_controlled,ACQSTATE-02R-d8bd77a44fe00800,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s2,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-074afad5a6b92ea4,104163,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,36,36,decreasing_reversed_with_provenance,108,
SCAN-02R-076c78acdde2d2d0,104113,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-097d0c674875ad7d,104047,time_controlled,ACQSTATE-02R-03c418e03bbff8ef,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,qk,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-0e6d00a831c04e8d,104227,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-0f8fb12fa9acc5a9,104128,time_controlled,ACQSTATE-02R-6c0bdd080b2c5a8d,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,qk,not_primary_energy_discovery,not_applicable,not_evaluated,,1,0,not_evaluated,0,
