centroid,complex_id,component_id,final_K,fit_status,fitted_background_parameters,integrated_area,log_likelihood,model_id,numerical_convergence_status,observed_empirical_fwhm,optimizer_stability_status,parameter_status,reason,scan_id,scientific_status,start_count
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-059bd02c78268a2b,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-0e6d00a831c04e8d,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-26c5588a4a75efc2,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-2f690557cfd20bec,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-306a96179bd778b6,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-3f903a520f921d83,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-43979cdff2eef525,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-45d1daf515e218b6,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-4ad1398a663b7933,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-4d54ea7698000638,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-4f5e09d1864ac832,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-5e52d7e5fbefbc05,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-6fded6b51e0642a8,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-708cf4d83a29d78f,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-7118d0dce593edea,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-731f452fb62a55bd,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-75faa4a614a8f130,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-774f62fc1777bc6b,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-77b71bd09c7eb4b4,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-8345a5938afc1084,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-8641a638f4880175,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-89614c0503a95275,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-8ca6316615b8cbae,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-8dcd5041a8a4e044,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-8e62e3b1b9deee81,not_estimated,16
,CX-01,C01,1,numerical_failure,,,,K1,warning,,unresolved,not_estimated,final_fit_numerical_failure,SCAN-02R-91de8f7a5ce6984b,not_estimated,16
