area_uncertainty,area_uncertainty_status,centroid_uncertainty,complex_id,component_id,observed_width_uncertainty,observed_width_uncertainty_status,reason,scan_id,uncertainty_method,uncertainty_status
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-059bd02c78268a2b,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-0e6d00a831c04e8d,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-26c5588a4a75efc2,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-2f690557cfd20bec,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-306a96179bd778b6,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-3f903a520f921d83,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-43979cdff2eef525,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-45d1daf515e218b6,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-4ad1398a663b7933,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-4d54ea7698000638,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-4f5e09d1864ac832,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-5e52d7e5fbefbc05,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-6fded6b51e0642a8,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-708cf4d83a29d78f,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-7118d0dce593edea,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-731f452fb62a55bd,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-75faa4a614a8f130,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-774f62fc1777bc6b,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-77b71bd09c7eb4b4,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-8345a5938afc1084,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-8641a638f4880175,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-89614c0503a95275,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-8ca6316615b8cbae,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-8dcd5041a8a4e044,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-8e62e3b1b9deee81,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-91de8f7a5ce6984b,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-91f840c137c7a43c,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-957a8834d758202b,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-abcd8030795bc9cb,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-ae86f327e3ed5623,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-b704f6a14f738619,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-c5843105fb81b54c,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-c7a73b4824a01210,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-ebc55d8b20e3cec0,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-eea1fadd4abbd144,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-f36bb8e354cf21b7,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-f380a5a0600b447a,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-f56f915bc229d6aa,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-f87c8c3cd06321c2,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-fb62d31e5c3c1dbf,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,,CX-01,C01,,not_estimated_explicit_no_frozen_method,profile_not_required_or_not_performed,SCAN-02R-fede66c26a275769,selective_likelihood_profile_for_centroid,not_estimated
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-059bd02c78268a2b,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-0e6d00a831c04e8d,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-26c5588a4a75efc2,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-2f690557cfd20bec,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-306a96179bd778b6,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-3f903a520f921d83,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-43979cdff2eef525,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-45d1daf515e218b6,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-4ad1398a663b7933,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-4eb3495e2e32dd73,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-51f6ed2eb7632349,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-68a1fdbd8955d9a4,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-6fded6b51e0642a8,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-708cf4d83a29d78f,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-7118d0dce593edea,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-731f452fb62a55bd,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-75faa4a614a8f130,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-774f62fc1777bc6b,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-77b71bd09c7eb4b4,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8345a5938afc1084,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8641a638f4880175,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-89614c0503a95275,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8ca6316615b8cbae,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8dcd5041a8a4e044,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8e62e3b1b9deee81,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-91de8f7a5ce6984b,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
